percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.70520142,61,4570,2017/06/30
0.712609971,64,4618,2017/06/30
0.721407625,112,4675,2017/06/30
0.721561969,114,4676,2017/06/30
0.721870659,120,4678,2017/06/30
0.723568452,117,4689,2017/06/30
0.730822658,112,4736,2017/06/30
0.733909554,71,4756,2017/06/30
0.734372588,72,4759,2017/06/30
0.735453002,68,4766,2017/06/30
0.740546381,69,4799,2017/06/30
0.742089829,69,4809,2017/06/30
0.747491897,71,4844,2017/06/30
0.749961414,68,4860,2017/06/30
0.752585276,60,4877,2017/06/30
0.754900448,66,4892,2017/06/30
0.760302516,63,4927,2017/06/30
0.760611205,65,4929,2017/06/30
0.762308998,67,4940,2017/06/30
0.763389412,63,4947,2017/06/30
0.763698102,63,4949,2017/06/30
0.764161136,60,4952,2017/06/30
0.767556722,79,4974,2017/06/30
0.768174101,76,4978,2017/06/30
0.780830375,64,5060,2017/06/30
0.783299892,64,5076,2017/06/30
0.783762926,58,5079,2017/06/30
0.78484334,54,5086,2017/06/30
0.786541133,66,5097,2017/06/30
0.787775891,66,5105,2017/06/30
0.803210372,65,5205,2017/06/30
0.805834234,66,5222,2017/06/30
0.807068992,68,5230,2017/06/30
0.807223337,69,5231,2017/06/30
0.816175336,59,5289,2017/06/30
0.819725266,55,5312,2017/06/30
0.823738231,49,5338,2017/06/30
0.824046921,51,5340,2017/06/30
0.826207748,58,5354,2017/06/30
0.829294644,70,5374,2017/06/30
0.838092298,92,5431,2017/06/30
0.845963883,60,5482,2017/06/30
0.848124711,56,5496,2017/06/30
0.849822503,55,5507,2017/06/30
0.851674641,56,5519,2017/06/30
0.853063744,59,5528,2017/06/30
0.856922365,57,5553,2017/06/30
0.857385399,58,5556,2017/06/30
0.860472295,56,5576,2017/06/30
0.861861398,60,5585,2017/06/30
0.86479395,64,5604,2017/06/30
0.868035191,77,5625,2017/06/30
0.872356845,62,5653,2017/06/30
0.873282914,67,5659,2017/06/30
0.873745948,70,5662,2017/06/30
0.874363328,72,5666,2017/06/30
0.875443741,71,5673,2017/06/30
0.878530637,68,5693,2017/06/30
0.879148017,70,5697,2017/06/30
0.886093533,66,5742,2017/06/30
0.887945671,56,5754,2017/06/30
0.888100015,56,5755,2017/06/30
0.890878222,58,5773,2017/06/30
0.891186912,69,5775,2017/06/30
0.891958636,77,5780,2017/06/30
0.89658898,107,5810,2017/06/30
0.898595462,61,5823,2017/06/30
0.905849668,66,5870,2017/06/30
0.908319185,59,5886,2017/06/30
0.910325668,65,5899,2017/06/30
0.912949529,67,5916,2017/06/30
0.913721253,60,5921,2017/06/30
0.922981942,75,5981,2017/06/30
0.926531872,62,6004,2017/06/30
0.927920975,63,6013,2017/06/30
0.933940423,65,6052,2017/06/30
0.934557802,71,6056,2017/06/30
0.938570767,77,6082,2017/06/30
0.939033802,75,6085,2017/06/30
0.945053249,62,6124,2017/06/30
0.947677111,64,6141,2017/06/30
0.94829449,67,6145,2017/06/30
0.950918352,51,6162,2017/06/30
0.952924834,63,6175,2017/06/30
0.953233524,64,6177,2017/06/30
0.955240006,58,6190,2017/06/30
0.95601173,58,6195,2017/06/30
0.956783454,68,6200,2017/06/30
0.95987035,65,6220,2017/06/30
0.967433246,66,6269,2017/06/30
0.968359315,61,6275,2017/06/30
0.978391727,58,6340,2017/06/30
0.979009106,54,6344,2017/06/30
0.983176416,63,6371,2017/06/30
0.98394814,64,6376,2017/06/30
0.987961105,51,6402,2017/06/30
0.989813243,61,6414,2017/06/30
0.989967588,62,6415,2017/06/30
0.995060966,59,6448,2017/06/30
0.995369656,59,6450,2017/06/30
